Plot,TRT,stage,K rate (lbac),Tifton K pct,Midville K pct,Watkinsville K pct,Macon K pct
105,1,R4,0,2.63,1.17,3.21,0.814
203,1,R4,0,2.76,1.22,2.9,0.902
305,1,R4,0,2.79,1.32,3.33,1.155
401,1,R4,0,2.67,1.14,3.13,1.155
102,2,R4,50,2.48,1.6,3.24,0.665
207,2,R4,50,2.87,1.28,3.28,0.819
306,2,R4,50,3.04,1.3,3.11,0.875
402,2,R4,50,2.67,1.34,3.35,1.043
106,4,R4,100,2.83,1.85,3.13,1.21
202,4,R4,100,3.17,1.74,3.1,1.71
307,4,R4,100,2.95,1.5,3.16,1.25
404,4,R4,100,2.79,1.19,2.95,1.53
103,5,R4,150,2.94,1.94,3.05,1.016
201,5,R4,150,2.84,1.56,3.2,1.584
304,5,R4,150,2.76,1.47,3,1.392
407,5,R4,150,3.01,1.51,3.21,1.432
